Opponent hand: 'A', Index: '1', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'B', Index: '2', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '3', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '4', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'B', Index: '5', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '6', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '7', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '8', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '9', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '10', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '11', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '12', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '13', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '14', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '15', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '16', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '17', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '18', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '19', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '20', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '21', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '22', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'C', Index: '23', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '24', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '25', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'B', Index: '26', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'A', Index: '27', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '28', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'C', Index: '29', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '30', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '31', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '32', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '33', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '34', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '35', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '36', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '37', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'C', Index: '38', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '39', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '40', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '41', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '42', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '43', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '44', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '45', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '46', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'C', Index: '47', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'B', Index: '48', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '49', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '50', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '51', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '52', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '53', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '54', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '55', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'B', Index: '56', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'B', Index: '57', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '58', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '59', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '60', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '61', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '62', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '63', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '64', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '65', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'B', Index: '66', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '67', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '68', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '69', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '70', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '71', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '72', Outcome: 'draw', My hand score: '3', Total score: '6'
